Лига;М;Клуб;И;В;Н;П;О
АПЛ;1;Арсенал;38;26;7;5;85
АПЛ;2;Манчестер Сити;38;23;9;6;78
АПЛ;3;Манчестер Юнайтед;38;20;11;7;71
АПЛ;4;Астон Вилла;38;19;8;11;65
АПЛ;5;Ливерпуль;38;17;9;12;60
АПЛ;6;Борнмут;38;13;18;7;57
АПЛ;7;Сандерленд;38;14;12;12;54
АПЛ;8;Брайтон;38;14;11;13;53
АПЛ;9;Брентфорд;38;14;11;13;53
АПЛ;10;Челси;38;14;10;14;52
АПЛ;11;Фулхэм;38;15;7;16;52
АПЛ;12;Ньюкасл;38;14;7;17;49
АПЛ;13;Эвертон;38;13;10;15;49
АПЛ;14;Лидс Юнайтед;38;11;14;13;47
АПЛ;15;Кристал Пэлас;38;11;12;15;45
АПЛ;16;Ноттингем Форест;38;11;11;16;44
АПЛ;17;Тоттенхэм Хотспур;38;10;11;17;41
АПЛ;18;Вест Хэм Юнайтед;38;10;9;19;39
АПЛ;19;Бёрнли;38;4;10;24;22
АПЛ;20;Вулверхэмптон Уондерерс;38;3;11;24;20
Ла Лига;1;Барселона;38;31;1;6;94
Ла Лига;2;Реал Мадрид;38;27;5;6;86
Ла Лига;3;Вильярреал;38;22;6;10;72
Ла Лига;4;Атлетико;38;21;6;11;69
Ла Лига;5;Реал Бетис;38;15;15;8;60
Ла Лига;6;Сельта;38;14;12;12;54
Ла Лига;7;Хетафе;38;15;6;17;51
Ла Лига;8;Райо Вальекано;38;12;14;12;50
Ла Лига;9;Валенсия;38;13;10;15;49
Ла Лига;10;Реал Сосьедад;38;11;13;14;46
Ла Лига;11;Эспаньол;38;12;10;16;46
Ла Лига;12;Атлетик Бильбао;38;13;6;19;45
Ла Лига;13;Севилья;38;12;7;19;43
Ла Лига;14;Алавес;38;11;10;17;43
Ла Лига;15;Эльче;38;10;13;15;43
Ла Лига;16;Леванте;38;11;9;18;42
Ла Лига;17;Осасуна;38;11;9;18;42
Ла Лига;18;Мальорка;38;11;9;18;42
Ла Лига;19;Жирона;38;9;14;15;41
Ла Лига;20;Реал Овьедо;38;6;11;21;29
Бундеслига;1;Бавария;34;28;5;1;89
Бундеслига;2;Боруссия Дортмунд;34;22;7;5;73
Бундеслига;3;РБ Лейпциг;34;20;5;9;65
Бундеслига;4;Штутгарт;34;18;8;8;62
Бундеслига;5;Хоффенхайм;34;18;7;9;61
Бундеслига;6;Байер;34;17;8;9;59
Бундеслига;7;Фрайбург;34;13;8;13;47
Бундеслига;8;Айнтрахт;34;11;11;12;44
Бундеслига;9;Аугсбург;34;12;7;15;43
Бундеслига;10;Майнц 05;34;10;10;14;40
Бундеслига;11;Унион Берлин;34;10;9;15;39
Бундеслига;12;Боруссия Мёнхенглабах;34;9;11;14;38
Бундеслига;13;Гамбург;34;9;11;14;38
Бундеслига;14;Кёльн;34;7;11;16;32
Бундеслига;15;Вердер;34;8;8;18;32
Бундеслига;16;Вольфсбург;34;7;8;19;29
Бундеслига;17;Хайденхайм;34;6;8;20;26
Бундеслига;18;Санкт-Паули;34;6;8;20;26
Серия А;1;Интер;38;27;6;5;87
Серия А;2;Наполи;38;23;7;8;76
Серия А;3;Рома;38;23;4;11;73
Серия А;4;Комо;38;20;11;7;71
Серия А;5;Милан;38;20;10;8;70
Серия А;6;Ювентус;38;19;12;7;69
Серия А;7;Аталанта;38;15;14;9;59
Серия А;8;Болонья;38;16;8;14;56
Серия А;9;Лацио;38;14;12;12;54
Серия А;10;Удинизе;38;14;8;16;50
Серия А;11;Сассуоло;38;14;7;17;49
Серия А;12;Торино;38;12;9;17;45
Серия А;13;Парма;38;11;12;15;45
Серия А;14;Кальяри;38;11;10;17;43
Серия А;15;Фиорентина;38;9;15;14;42
Серия А;16;Дженоа;38;10;11;17;41
Серия А;17;Лечче;38;10;8;20;38
Серия А;18;Кремонезе;38;8;10;20;34
Серия А;19;Верона;38;3;12;23;21
Серия А;20;Пиза;38;2;12;24;18
Лига 1;1;ПСЖ;34;24;4;6;76
Лига 1;2;Ланс;34;22;4;8;70
Лига 1;3;Лилль;34;18;7;9;61
Лига 1;4;Лион;34;18;6;10;60
Лига 1;5;Марсель;34;18;5;11;59
Лига 1;6;Ренн;34;17;8;9;59
Лига 1;7;Монако;34;16;6;12;54
Лига 1;8;Страсбур;34;15;8;11;53
Лига 1;9;Лорьян;34;11;12;11;45
Лига 1;10;Тулуза;34;12;8;13;44
Лига 1;11;Париж;34;11;11;12;44
Лига 1;12;Брест;34;10;9;15;39
Лига 1;13;Анже;34;9;9;16;36
Лига 1;14;Гавр;34;7;14;13;35
Лига 1;15;Осер;34;8;10;16;34
Лига 1;16;Ницца;34;7;11;16;32
Лига 1;17;Нант;34;5;8;20;23
Лига 1;18;Мец;34;3;8;23;17
РПЛ;1;Зенит;30;20;8;2;68
РПЛ;2;Краснодар;30;20;6;4;66
РПЛ;3;Локомотив;30;14;11;5;53
РПЛ;4;Спартак;30;15;7;8;52
РПЛ;5;ЦСКА;30;15;6;9;51
РПЛ;6;Балтика;30;11;13;6;46
РПЛ;7;Динамо Москва;30;12;9;9;45
РПЛ;8;Рубин;30;11;10;9;43
РПЛ;9;Ахмат;30;9;10;11;37
РПЛ;10;Ростов;30;8;9;13;33
РПЛ;11;Крылья Советов;30;8;8;14;32
РПЛ;12;Оренбург;30;7;8;15;29
РПЛ;13;Акрон;30;6;9;15;27
РПЛ;14;Динамо Махачкала;30;5;11;14;26
РПЛ;15;Пари НН;30;6;5;19;23
РПЛ;16;Сочи;30;6;4;20;22
